frame_id,person_count,processing_time_ms,annotated_frame
1,14,279.0,output\experiments\city_square_20260611_013521\annotated_frames\camera_01_frame_000001.jpg
2,14,48.05,output\experiments\city_square_20260611_013521\annotated_frames\camera_01_frame_000002.jpg
3,14,48.65,output\experiments\city_square_20260611_013521\annotated_frames\camera_01_frame_000003.jpg
4,15,42.71,output\experiments\city_square_20260611_013521\annotated_frames\camera_01_frame_000004.jpg
5,15,43.43,output\experiments\city_square_20260611_013521\annotated_frames\camera_01_frame_000005.jpg
6,16,49.82,output\experiments\city_square_20260611_013521\annotated_frames\camera_01_frame_000006.jpg
7,16,48.99,output\experiments\city_square_20260611_013521\annotated_frames\camera_01_frame_000007.jpg
8,16,54.8,output\experiments\city_square_20260611_013521\annotated_frames\camera_01_frame_000008.jpg
9,16,48.12,output\experiments\city_square_20260611_013521\annotated_frames\camera_01_frame_000009.jpg
10,17,47.23,output\experiments\city_square_20260611_013521\annotated_frames\camera_01_frame_000010.jpg
11,16,51.68,output\experiments\city_square_20260611_013521\annotated_frames\camera_01_frame_000011.jpg
12,17,64.13,output\experiments\city_square_20260611_013521\annotated_frames\camera_01_frame_000012.jpg
13,19,85.06,output\experiments\city_square_20260611_013521\annotated_frames\camera_01_frame_000013.jpg
14,16,94.27,output\experiments\city_square_20260611_013521\annotated_frames\camera_01_frame_000014.jpg
15,17,96.53,output\experiments\city_square_20260611_013521\annotated_frames\camera_01_frame_000015.jpg
16,18,81.87,output\experiments\city_square_20260611_013521\annotated_frames\camera_01_frame_000016.jpg
17,18,76.54,output\experiments\city_square_20260611_013521\annotated_frames\camera_01_frame_000017.jpg
18,18,105.34,output\experiments\city_square_20260611_013521\annotated_frames\camera_01_frame_000018.jpg
19,18,54.13,output\experiments\city_square_20260611_013521\annotated_frames\camera_01_frame_000019.jpg
20,17,62.2,output\experiments\city_square_20260611_013521\annotated_frames\camera_01_frame_000020.jpg
21,17,62.7,output\experiments\city_square_20260611_013521\annotated_frames\camera_01_frame_000021.jpg
22,16,51.37,output\experiments\city_square_20260611_013521\annotated_frames\camera_01_frame_000022.jpg
23,16,47.39,output\experiments\city_square_20260611_013521\annotated_frames\camera_01_frame_000023.jpg
24,16,48.81,output\experiments\city_square_20260611_013521\annotated_frames\camera_01_frame_000024.jpg
25,16,42.77,output\experiments\city_square_20260611_013521\annotated_frames\camera_01_frame_000025.jpg
