experiment_name,camera_id,source,frame_id,timestamp,processed_at,width,height,person_count,processing_time_ms,annotated_frame,bounding_boxes_json
sidewalk_20260611_013714,camera_01,data\video\sidewalk.mp4,1,2026-06-11T01:37:30,2026-06-11T01:37:30,1920,1080,3,129.79,output\experiments\sidewalk_20260611_013714\annotated_frames\camera_01_frame_000001.jpg,"[{""x1"": 833.95, ""y1"": 2.56, ""x2"": 1656.24, ""y2"": 1063.82, ""confidence"": 0.8934, ""class_id"": 0, ""class_name"": ""person""}, {""x1"": 1627.33, ""y1"": 0.3, ""x2"": 1918.18, ""y2"": 989.79, ""confidence"": 0.89, ""class_id"": 0, ""class_name"": ""person""}, {""x1"": 633.88, ""y1"": 346.45, ""x2"": 705.8, ""y2"": 431.22, ""confidence"": 0.5815, ""class_id"": 0, ""class_name"": ""person""}]"
sidewalk_20260611_013714,camera_01,data\video\sidewalk.mp4,2,2026-06-11T01:37:30,2026-06-11T01:37:31,1920,1080,3,53.68,output\experiments\sidewalk_20260611_013714\annotated_frames\camera_01_frame_000002.jpg,"[{""x1"": 844.16, ""y1"": 0.0, ""x2"": 1687.42, ""y2"": 1069.82, ""confidence"": 0.8717, ""class_id"": 0, ""class_name"": ""person""}, {""x1"": 1633.79, ""y1"": 3.1, ""x2"": 1918.84, ""y2"": 987.86, ""confidence"": 0.8635, ""class_id"": 0, ""class_name"": ""person""}, {""x1"": 642.39, ""y1"": 345.37, ""x2"": 704.75, ""y2"": 412.84, ""confidence"": 0.4478, ""class_id"": 0, ""class_name"": ""person""}]"
sidewalk_20260611_013714,camera_01,data\video\sidewalk.mp4,3,2026-06-11T01:37:31,2026-06-11T01:37:31,1920,1080,4,55.81,output\experiments\sidewalk_20260611_013714\annotated_frames\camera_01_frame_000003.jpg,"[{""x1"": 859.34, ""y1"": 3.64, ""x2"": 1754.83, ""y2"": 1071.19, ""confidence"": 0.8413, ""class_id"": 0, ""class_name"": ""person""}, {""x1"": 1632.73, ""y1"": 4.98, ""x2"": 1915.98, ""y2"": 988.81, ""confidence"": 0.392, ""class_id"": 0, ""class_name"": ""person""}, {""x1"": 651.31, ""y1"": 345.0, ""x2"": 710.01, ""y2"": 401.86, ""confidence"": 0.327, ""class_id"": 0, ""class_name"": ""person""}, {""x1"": 1736.75, ""y1"": 510.94, ""x2"": 1919.2, ""y2"": 942.7, ""confidence"": 0.3083, ""class_id"": 0, ""class_name"": ""person""}]"
sidewalk_20260611_013714,camera_01,data\video\sidewalk.mp4,4,2026-06-11T01:37:31,2026-06-11T01:37:31,1920,1080,1,58.72,output\experiments\sidewalk_20260611_013714\annotated_frames\camera_01_frame_000004.jpg,"[{""x1"": 948.71, ""y1"": 4.69, ""x2"": 1836.49, ""y2"": 1071.71, ""confidence"": 0.8465, ""class_id"": 0, ""class_name"": ""person""}]"
sidewalk_20260611_013714,camera_01,data\video\sidewalk.mp4,5,2026-06-11T01:37:31,2026-06-11T01:37:31,1920,1080,2,55.94,output\experiments\sidewalk_20260611_013714\annotated_frames\camera_01_frame_000005.jpg,"[{""x1"": 1095.71, ""y1"": 4.45, ""x2"": 1916.86, ""y2"": 1066.48, ""confidence"": 0.86, ""class_id"": 0, ""class_name"": ""person""}, {""x1"": 665.4, ""y1"": 310.03, ""x2"": 716.07, ""y2"": 389.76, ""confidence"": 0.2699, ""class_id"": 0, ""class_name"": ""person""}]"
sidewalk_20260611_013714,camera_01,data\video\sidewalk.mp4,6,2026-06-11T01:37:31,2026-06-11T01:37:31,1920,1080,2,56.9,output\experiments\sidewalk_20260611_013714\annotated_frames\camera_01_frame_000006.jpg,"[{""x1"": 1155.87, ""y1"": 3.04, ""x2"": 1917.34, ""y2"": 1067.95, ""confidence"": 0.884, ""class_id"": 0, ""class_name"": ""person""}, {""x1"": 665.12, ""y1"": 316.39, ""x2"": 715.04, ""y2"": 388.02, ""confidence"": 0.2801, ""class_id"": 0, ""class_name"": ""person""}]"
sidewalk_20260611_013714,camera_01,data\video\sidewalk.mp4,7,2026-06-11T01:37:32,2026-06-11T01:37:32,1920,1080,1,58.32,output\experiments\sidewalk_20260611_013714\annotated_frames\camera_01_frame_000007.jpg,"[{""x1"": 1310.23, ""y1"": 5.05, ""x2"": 1919.21, ""y2"": 1064.58, ""confidence"": 0.885, ""class_id"": 0, ""class_name"": ""person""}]"
sidewalk_20260611_013714,camera_01,data\video\sidewalk.mp4,8,2026-06-11T01:37:32,2026-06-11T01:37:32,1920,1080,1,59.09,output\experiments\sidewalk_20260611_013714\annotated_frames\camera_01_frame_000008.jpg,"[{""x1"": 1214.69, ""y1"": 1.33, ""x2"": 1919.56, ""y2"": 1066.32, ""confidence"": 0.9022, ""class_id"": 0, ""class_name"": ""person""}]"
sidewalk_20260611_013714,camera_01,data\video\sidewalk.mp4,9,2026-06-11T01:37:32,2026-06-11T01:37:32,1920,1080,2,54.99,output\experiments\sidewalk_20260611_013714\annotated_frames\camera_01_frame_000009.jpg,"[{""x1"": 1152.01, ""y1"": 2.22, ""x2"": 1766.38, ""y2"": 999.54, ""confidence"": 0.7843, ""class_id"": 0, ""class_name"": ""person""}, {""x1"": 1628.25, ""y1"": 4.42, ""x2"": 1919.38, ""y2"": 1071.07, ""confidence"": 0.278, ""class_id"": 0, ""class_name"": ""person""}]"
sidewalk_20260611_013714,camera_01,data\video\sidewalk.mp4,10,2026-06-11T01:37:32,2026-06-11T01:37:32,1920,1080,2,55.04,output\experiments\sidewalk_20260611_013714\annotated_frames\camera_01_frame_000010.jpg,"[{""x1"": 1123.61, ""y1"": 2.2, ""x2"": 1783.85, ""y2"": 1000.67, ""confidence"": 0.7946, ""class_id"": 0, ""class_name"": ""person""}, {""x1"": 1645.75, ""y1"": 8.0, ""x2"": 1919.42, ""y2"": 1070.08, ""confidence"": 0.4082, ""class_id"": 0, ""class_name"": ""person""}]"
